page_id,violations,passes,total_checks,failure_rate
287,0,848,848,0.0
288,13,200,213,0.06103286384976526
289,3,207,210,0.014285714285714285
290,2,6,8,0.25
291,12,143,155,0.07741935483870968
292,0,837,837,0.0
293,4,497,501,0.007984031936127744
294,4,534,538,0.007434944237918215
295,4,776,780,0.005128205128205128
296,24,798,822,0.029197080291970802
299,19,774,793,0.02395964691046658
300,8,361,369,0.02168021680216802
301,11,637,648,0.016975308641975308
302,1,220,221,0.004524886877828055
303,4,419,423,0.009456264775413711
304,8,232,240,0.03333333333333333
305,7,331,338,0.020710059171597635
306,7,331,338,0.020710059171597635
307,1,531,532,0.0018796992481203006
308,0,281,281,0.0
309,1,531,532,0.0018796992481203006
310,5,362,367,0.013623978201634877
311,0,309,309,0.0
313,17,311,328,0.051829268292682924
315,0,631,631,0.0
316,9,660,669,0.013452914798206279
319,0,454,454,0.0
320,1,609,610,0.001639344262295082
321,8,416,424,0.018867924528301886
322,17,561,578,0.029411764705882353
323,23,428,451,0.050997782705099776
324,2,8,10,0.2
325,32,967,999,0.03203203203203203
328,6,672,678,0.008849557522123894
329,2,224,226,0.008849557522123894
330,3,937,940,0.0031914893617021275
331,9,210,219,0.0410958904109589
332,0,317,317,0.0
334,0,307,307,0.0
337,7,350,357,0.0196078431372549
338,22,342,364,0.06043956043956044
339,14,852,866,0.016166281755196306
340,3,474,477,0.006289308176100629
341,1,620,621,0.001610305958132045
342,10,336,346,0.028901734104046242
343,9,675,684,0.013157894736842105
344,3,5,8,0.375
345,5,863,868,0.00576036866359447
346,3,207,210,0.014285714285714285
347,9,904,913,0.009857612267250822
348,6,473,479,0.012526096033402923
349,0,282,282,0.0
350,5,297,302,0.016556291390728478
351,2,295,297,0.006734006734006734
352,5,362,367,0.013623978201634877
353,8,497,505,0.015841584158415842
354,0,471,471,0.0
355,2,442,444,0.0045045045045045045
356,5,297,302,0.016556291390728478
357,2,242,244,0.00819672131147541
358,4,196,200,0.02
361,1,316,317,0.0031545741324921135
362,1,316,317,0.0031545741324921135
363,1,316,317,0.0031545741324921135
364,1,316,317,0.0031545741324921135
365,1,316,317,0.0031545741324921135
366,1,316,317,0.0031545741324921135
367,6,80,86,0.06976744186046512
369,6,195,201,0.029850746268656716
370,8,537,545,0.014678899082568808
371,5,603,608,0.008223684210526315
372,4,521,525,0.007619047619047619
373,5,475,480,0.010416666666666666
374,1,668,669,0.0014947683109118087
376,1,668,669,0.0014947683109118087
377,1,668,669,0.0014947683109118087
378,1,603,604,0.0016556291390728477
379,10,342,352,0.028409090909090908
381,6,161,167,0.03592814371257485
382,6,746,752,0.007978723404255319
383,6,746,752,0.007978723404255319
384,8,243,251,0.03187250996015936
385,8,388,396,0.020202020202020204
