page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_alt_missing,error_alt_link_missing,error_alt_spacer_missing,error_label_missing,error_link_empty,error_aria_reference_broken,alert_alt_duplicate,alert_label_orphaned,alert_link_internal_broken,alert_link_suspicious,alert_link_redundant,alert_noscript,alert_tabindex,alert_text_small,alert_title_redundant,contrast_contrast,error_button_empty,error_link_skip_broken,alert_alt_suspicious,alert_heading_skipped,alert_link_pdf,alert_youtube_video,error_alt_input_missing,error_aria_menu_broken,alert_legend_missing,alert_event_handler,alert_alt_long,error_label_empty,alert_heading_possible,alert_link_excel,alert_alt_redundant,alert_table_layout,alert_h1_missing,alert_underline,error_label_multiple,error_heading_empty,alert_label_title,alert_audio_video,alert_select_missing_label,alert_html5_video_audio,alert_fieldset_missing,alert_heading_missing,alert_region_missing,error_th_empty,alert_image_title,alert_link_powerpoint,error_language_missing,alert_text_justified,alert_javascript_jumpmenu,alert_accesskey,alert_link_word,alert_list_possible,alert_flash,error_meta_refresh,alert_plugin,error_title_invalid,error_alt_map_missing,alert_link_document,error_alt_area_missing,alert_longdesc,alert_table_caption_possible,error_marquee,error_longdesc_invalid
96_home,True,24,8,2,22,0,1.0,1.0,,,,,,,,5.0,9.0,3.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
97_home,True,149,11,19,91,39,,,,1.0,17.0,,,,,,80.0,2.0,,2.0,,39.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99_home,True,60,12,4,16,40,1.0,,2.0,,,,5.0,,1.0,,1.0,3.0,,,,40.0,,,1.0,,,,,,,,,,,,3.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
102_home,True,141,11,21,85,35,,,,1.0,19.0,,,,,,74.0,2.0,,2.0,,35.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105_home,True,16,4,0,16,0,,,,,,,,,,,12.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107_home,True,45,7,10,35,0,9.0,1.0,,,,,,,,,18.0,2.0,,,,,,,10.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108_home,True,47,13,1,46,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,2.0,9.0,,,,,,,,,,,,,,,,,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
110_home,True,42,12,1,41,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,2.0,8.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
111_home,True,42,12,1,41,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,1.0,9.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
113_home,True,93,11,19,55,19,,,,1.0,17.0,,,,,,44.0,2.0,,2.0,,19.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114_home,True,5,1,0,5,0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115_home,True,53,12,22,19,12,,2.0,2.0,1.0,17.0,,,,,1.0,5.0,2.0,,6.0,,12.0,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
116_home,True,6,2,0,6,0,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119_home,True,456,18,32,418,6,,11.0,,4.0,8.0,,,,,,16.0,2.0,,3.0,380.0,6.0,1.0,,1.0,8.0,2.0,,,,,,,3.0,2.0,,,,,,3.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
120_home,True,58,14,3,53,2,,1.0,,,,,1.0,,,1.0,26.0,1.0,,7.0,5.0,2.0,2.0,,,4.0,1.0,,,,,,3.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123_home,True,64,12,2,62,0,,,,1.0,,,,,,1.0,19.0,1.0,,6.0,6.0,,1.0,,,7.0,8.0,1.0,,,,,12.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
124_home,True,21,11,4,17,0,,,,3.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,5.0,,,,1.0,4.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126_home,True,27,9,9,18,0,2.0,,,,6.0,1.0,,,,3.0,3.0,1.0,,4.0,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127_home,True,6,2,0,6,0,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130_home,True,51,8,1,50,0,,,,,,,,,,,22.0,1.0,,6.0,6.0,,1.0,,,9.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131_home,True,45,12,22,19,4,,2.0,2.0,1.0,17.0,,,,,1.0,5.0,2.0,,6.0,,4.0,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132_home,True,29,11,1,28,0,,,,,,,,,1.0,1.0,6.0,1.0,,2.0,5.0,,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
133_home,True,149,11,19,89,41,,,,1.0,17.0,,,,,,78.0,2.0,,2.0,,41.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134_home,True,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
137_home,True,35,7,11,23,1,10.0,1.0,,,,,,,,,11.0,2.0,,,,1.0,,,,2.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138_home,True,31,9,1,30,0,,,,,,,,,,1.0,9.0,1.0,,6.0,5.0,,1.0,,1.0,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140_home,True,57,13,1,54,2,,,,,,,1.0,,,1.0,25.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,3.0,,,,,,4.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141_home,True,5,1,0,5,0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142_home,True,143,12,20,86,37,,,,1.0,18.0,,,,,1.0,74.0,2.0,,2.0,,37.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144_home,True,12,3,0,12,0,,,,,,,,,,,8.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146_home,True,142,11,20,83,39,,,,1.0,18.0,,,,,,72.0,2.0,,2.0,,39.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149_home,True,52,13,1,49,2,,,,,,,1.0,,,1.0,25.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,1.0,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151_home,True,190,11,20,113,57,,,,1.0,18.0,,,,,,102.0,2.0,,2.0,,57.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152_home,True,7,2,0,7,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153_home,True,45,12,22,19,4,,2.0,2.0,1.0,17.0,,,,,1.0,5.0,2.0,,6.0,,4.0,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
154_home,True,44,12,21,19,4,,1.0,2.0,1.0,17.0,,,,,2.0,4.0,2.0,,6.0,,4.0,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
156_home,True,4,1,0,4,0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157_home,True,109,11,19,65,25,,,,1.0,17.0,,,,,,54.0,2.0,,2.0,,25.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160_home,True,56,11,22,18,16,,2.0,2.0,1.0,17.0,,,,,1.0,5.0,2.0,,6.0,,16.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
161_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164_home,True,7,2,0,7,0,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165_home,True,4,1,0,4,0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166_home,True,59,13,8,49,2,,,2.0,,1.0,,,,4.0,4.0,10.0,3.0,,25.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
168_home,True,36,13,1,35,0,,,,,,,,,1.0,1.0,4.0,1.0,,6.0,5.0,,1.0,,1.0,5.0,1.0,,,,,,,,,,,,,,,,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
169_home,True,103,11,19,61,23,,,,1.0,17.0,,,,,,50.0,2.0,,2.0,,23.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170_home,True,272,16,9,255,8,,,,4.0,1.0,1.0,,,1.0,1.0,41.0,,,2.0,192.0,8.0,1.0,,,2.0,,,,,,,10.0,,4.0,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
171_home,True,267,17,28,216,23,11.0,11.0,,,2.0,,1.0,1.0,,1.0,16.0,,,141.0,46.0,23.0,4.0,,,5.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173_home,True,29,12,10,13,6,,5.0,,3.0,1.0,,,,,,6.0,1.0,,1.0,,6.0,1.0,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177_home,True,40,9,19,20,1,6.0,5.0,,,8.0,,,,,,9.0,1.0,,,,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
179_home,True,42,8,3,33,6,,,,,,,10.0,,,,16.0,2.0,,2.0,,6.0,3.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180_home,True,3,2,1,2,0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181_home,True,191,18,8,152,31,,1.0,,,4.0,,4.0,,,1.0,2.0,1.0,1.0,5.0,94.0,31.0,,,5.0,2.0,,,,1.0,,,7.0,,,,26.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185_home,True,42,12,1,41,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,1.0,9.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
