id,source_id
29280,sjr_15578
29282,sjr_23709
29287,sjr_16245
29292,sjr_16186
29295,sjr_130050
29297,sjr_22245
29299,sjr_13408
29300,sjr_21100852120
29301,sjr_18983
29303,sjr_11700154206
29309,sjr_21100369848
29310,sjr_21100967264
29311,sjr_21101049099
29312,sjr_15510
29313,sjr_4700152304
29317,sjr_13503
29318,sjr_21100283775
29319,sjr_29990
29320,sjr_20717
29321,sjr_18300156731
29325,sjr_22424
29326,sjr_20308
29327,sjr_17456
29329,sjr_15968
29330,sjr_19532
29331,sjr_21100218523
29332,sjr_29070
29337,sjr_4200151402
29338,sjr_21101028072
29341,sjr_13563
29344,sjr_21100218543
29346,sjr_19975
29349,sjr_21100932748
29350,sjr_20297
29352,sjr_17617
29353,sjr_39112
29356,sjr_20200
29359,sjr_25321
29363,sjr_16667
29365,sjr_29124
29367,sjr_21101055809
29370,sjr_21100373947
29372,sjr_29544
29377,sjr_21100201725
29378,sjr_26953
29380,sjr_21101045729
29381,sjr_21100854855
29382,sjr_21100459104
29385,sjr_19600166321
29386,sjr_21101055964
29388,sjr_23181
29391,sjr_130030
29393,sjr_35048
29395,sjr_13266
29396,sjr_21100843337
29397,sjr_17466
29404,sjr_12435
29411,sjr_21100823147
29412,sjr_21100887409
29416,sjr_14772
29421,sjr_23217
29423,sjr_4700152204
29424,sjr_15665
29425,sjr_21731
29431,sjr_4000151810
29434,sjr_14921
29437,sjr_4400151517
29438,sjr_21928
29439,sjr_19700188453
29443,sjr_25523
29444,sjr_19732
29445,sjr_21955
29446,sjr_30081
29448,sjr_12868
29449,sjr_12531
29450,sjr_4700152753
29454,sjr_21100940460
29457,sjr_29919
29460,sjr_25488
29462,sjr_22173
29463,sjr_13017
29464,sjr_21100403234
29468,sjr_23010
29470,sjr_18556
29471,sjr_130185
29475,sjr_17665
29477,sjr_21100228518
29478,sjr_26699
29480,sjr_28387
29481,sjr_17876
29482,sjr_19569
29484,sjr_19700175037
29485,sjr_22266
29487,sjr_14698
29488,sjr_21100399469
29490,sjr_4700152825
29491,sjr_21100451375
29494,sjr_19210
29495,sjr_28308
29496,sjr_14250
29497,sjr_14994
29499,sjr_5700155900
29501,sjr_21100239250
29502,sjr_18945
29504,sjr_26643
29505,sjr_21101038539
29506,sjr_20655
29508,sjr_15406
29509,sjr_21101043805
29510,sjr_27058
29511,sjr_16339
29514,sjr_18004
29515,sjr_21100773746
29516,sjr_17592
29517,sjr_23041
29518,sjr_4400151524
29519,sjr_11200153524
29520,sjr_21100415705
29523,sjr_21100363813
29524,sjr_15548
29526,sjr_21100833818
29528,sjr_38003
29529,sjr_19700201434
29530,sjr_21503
29533,sjr_20250
29534,sjr_12066
29535,sjr_19700187601
29537,sjr_21100440607
29540,sjr_19890
29541,sjr_12127
29543,sjr_19700188321
29546,sjr_17990
29547,sjr_21100443787
29548,sjr_29412
29549,sjr_21169
29552,sjr_14062
29554,sjr_22549
29556,sjr_28110
29557,sjr_5800207508
29562,sjr_26159
29568,sjr_22704
29570,sjr_21100394256
29573,sjr_14254
29576,sjr_20779
29577,sjr_17425
29578,sjr_22101
29579,sjr_19500157549
29585,sjr_14838
29587,sjr_13442
29593,sjr_5700167235
29595,sjr_16003
29596,sjr_18640
29597,sjr_19900193985
29599,sjr_4400151713
29600,sjr_19841
29601,sjr_19700168103
29602,sjr_25294
29612,sjr_28093
29613,sjr_14855
29614,sjr_10600153354
29617,sjr_25368
29619,sjr_21100869857
29620,sjr_19894
29623,sjr_13736
29624,sjr_16687
29625,sjr_12859
29626,sjr_13500
29627,sjr_14551
29629,sjr_24613
29630,sjr_19700174913
29632,sjr_24657
29634,sjr_3500148010
29636,sjr_21101041514
29637,sjr_24451
29640,sjr_19771
29645,sjr_19143
29647,sjr_68480
29652,sjr_15440
29656,sjr_20863
29657,sjr_5700191211
29658,sjr_38597
29659,sjr_27505
29660,sjr_17900156719
29662,sjr_19700188389
29666,sjr_28665
29667,sjr_21846
29668,sjr_27514
29669,sjr_21100853879
29670,sjr_12211
29675,sjr_29559
29676,sjr_19617
29677,sjr_14993
29678,sjr_5800207373
29679,sjr_26239
29680,sjr_14313
29683,sjr_21100869398
29684,sjr_28122
29686,sjr_21101034398
29687,sjr_21100853016
29688,sjr_17494
29689,sjr_21100817619
29694,sjr_21100394090
29696,sjr_12857
29698,sjr_21100850723
29700,sjr_16101
29706,sjr_21100349562
29707,sjr_18471
29708,sjr_21100853961
29715,sjr_23371
29717,sjr_19403
29720,sjr_13065
29721,sjr_27467
29725,sjr_30824
29726,sjr_21100256982
29727,sjr_22652
29729,sjr_14075
29733,sjr_12430
29735,sjr_21723
