page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_label_missing,error_language_missing,error_button_empty,alert_alt_suspicious,alert_h1_missing,alert_link_redundant,alert_link_pdf,alert_text_small,contrast_contrast,alert_select_missing_label,alert_region_missing,error_alt_missing,error_link_empty,error_aria_menu_broken,alert_alt_duplicate,alert_label_orphaned,alert_heading_skipped,alert_link_suspicious,alert_event_handler,alert_text_justified,alert_heading_missing,alert_link_internal_broken,error_alt_link_missing,alert_youtube_video,alert_title_redundant,error_th_empty,alert_noscript,alert_image_title,alert_label_title,alert_accesskey,alert_table_layout,error_heading_empty,alert_alt_redundant,alert_legend_missing,alert_tabindex,alert_heading_possible,alert_underline,error_link_skip_broken,alert_fieldset_missing,alert_plugin,alert_alt_long,alert_javascript_jumpmenu,error_alt_spacer_missing,error_title_invalid,error_aria_reference_broken,alert_table_caption_possible,alert_link_powerpoint,alert_link_excel,alert_audio_video,alert_list_possible,error_label_multiple,error_meta_refresh,error_alt_area_missing,alert_flash,error_alt_map_missing,error_label_empty,alert_html5_video_audio,error_alt_input_missing,alert_link_word,alert_longdesc,error_marquee,error_blink,alert_applet
53_home,True,19,8,11,3,5,,1.0,,,,1.0,,,5.0,,1.0,2.0,,,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
54_home,True,29,14,8,19,2,2.0,1.0,,,,1.0,1.0,6.0,2.0,,1.0,,2.0,,1.0,,,,,4.0,1.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
55_home,True,12,7,2,4,6,,,,,1.0,,,,6.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56_home,True,35,10,3,30,2,2.0,1.0,,,1.0,20.0,,3.0,2.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57_home,True,33,11,4,25,4,1.0,1.0,,,,6.0,,,4.0,1.0,,,,,,,,,12.0,,1.0,,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
58_home,True,14,9,7,5,2,,1.0,,,,1.0,,1.0,2.0,,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
59_home,True,14,5,2,4,8,,1.0,,,1.0,,,,8.0,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60_home,True,12,6,1,4,7,1.0,,,,,,,1.0,7.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61_home,True,70,6,27,15,28,,,,,1.0,14.0,,,28.0,,,3.0,2.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62_home,True,18,9,4,12,2,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63_home,True,15,6,0,15,0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,4.0,,,2.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64_home,True,1504,7,4,1305,195,1.0,,,,,,,1303.0,195.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65_home,True,43,9,20,22,1,8.0,,,,,9.0,,,1.0,,,3.0,9.0,,,2.0,2.0,3.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_home,True,12,4,1,2,9,,,,,,1.0,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67_home,True,12,5,10,2,0,,,1.0,,,,,,,,,,1.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
