page_category,page_id,page_type,page_url,issue_id,issue_desc,issue_impact,issue_help,issue_url,violations,passes,total_checks,failure_rate
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,avoid-inline-spacing,"Ensure that text spacing set through style attributes can be adjusted with custom stylesheets",null,"Inline text spacing must be adjustable with custom stylesheets",https://dequeuniversity.com/rules/axe/4.8/avoid-inline-spacing?application=playwright,0,4,4,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,bypass,"Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content",null,"Page must have means to bypass repeated blocks",https://dequeuniversity.com/rules/axe/4.8/bypass?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,color-contrast,"Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,"Elements must meet minimum color contrast ratio thresholds",https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,0,119,119,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,document-title,"Ensures each HTML document contains a non-empty <title> element",null,"Documents must have <title> element to aid in navigation",https://dequeuniversity.com/rules/axe/4.8/document-title?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,duplicate-id-aria,"Ensures every id attribute value used in ARIA and in labels is unique",null,"IDs used in ARIA and labels must be unique",https://dequeuniversity.com/rules/axe/4.8/duplicate-id-aria?application=playwright,0,6,6,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,empty-heading,"Ensures headings have discernible text",null,"Headings should not be empty",https://dequeuniversity.com/rules/axe/4.8/empty-heading?application=playwright,0,28,28,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,empty-table-header,"Ensures table headers have discernible text",null,"Table header text should not be empty",https://dequeuniversity.com/rules/axe/4.8/empty-table-header?application=playwright,0,5,5,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,landmark-banner-is-top-level,"Ensures the banner landmark is at top level",null,"Banner landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-banner-is-top-level?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,landmark-no-duplicate-banner,"Ensures the document has at most one banner landmark",null,"Document should not have more than one banner landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-banner?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,landmark-unique,"Landmarks should have a unique role or role/label/title (i.e. accessible name) combination",null,"Ensures landmarks are unique",https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,0,2,2,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color",null,"Links must be distinguishable without relying on color",https://dequeuniversity.com/rules/axe/4.8/link-in-text-block?application=playwright,0,3,3,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,link-name,"Ensures links have discernible text",serious,"Links must have discernible text",https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,0,42,42,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,list,"Ensures that lists are structured correctly",null,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.8/list?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,listitem,"Ensures <li> elements are used semantically",null,"<li> elements must be contained in a <ul> or <ol>",https://dequeuniversity.com/rules/axe/4.8/listitem?application=playwright,0,6,6,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,meta-viewport-large,"Ensures <meta name="viewport"> can scale a significant amount",null,"Users should be able to zoom and scale the text up to 500%",https://dequeuniversity.com/rules/axe/4.8/meta-viewport-large?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,meta-viewport,"Ensures <meta name="viewport"> does not disable text scaling and zooming",null,"Zooming and scaling must not be disabled",https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,nested-interactive,"Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies",serious,"Interactive controls must not be nested",https://dequeuniversity.com/rules/axe/4.8/nested-interactive?application=playwright,0,29,29,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",null,"Page should contain a level-one heading",https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,0,1,1,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,scope-attr-valid,"Ensures the scope attribute is used correctly on tables",null,"scope attribute should be used correctly",https://dequeuniversity.com/rules/axe/4.8/scope-attr-valid?application=playwright,0,5,5,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,tabindex,"Ensures tabindex attribute values are not greater than 0",null,"Elements should not have tabindex greater than zero",https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright,0,12,12,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,table-duplicate-name,"Ensure the <caption> element does not contain the same text as the summary attribute",null,"tables should not have the same summary and caption",https://dequeuniversity.com/rules/axe/4.8/table-duplicate-name?application=playwright,0,2,2,0
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,td-headers-attr,"Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table",null,"Table cells that use the headers attribute must only refer to cells in the same table",https://dequeuniversity.com/rules/axe/4.8/td-headers-attr?application=playwright,0,2,2,0
