category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap12,donor,aria-prohibited-attr,0,15,15,0
hubmap,hubmap12,donor,aria-required-attr,0,9,9,0
hubmap,hubmap12,donor,aria-required-children,0,2,2,0
hubmap,hubmap12,donor,aria-required-parent,0,4,4,0
hubmap,hubmap12,donor,aria-roles,0,9,9,0
hubmap,hubmap12,donor,aria-valid-attr-value,0,15,15,0
hubmap,hubmap12,donor,aria-valid-attr,0,15,15,0
hubmap,hubmap12,donor,avoid-inline-spacing,0,6,6,0
hubmap,hubmap12,donor,bypass,0,1,1,0
hubmap,hubmap12,donor,color-contrast,0,88,88,0
hubmap,hubmap12,donor,document-title,0,1,1,0
hubmap,hubmap12,donor,empty-heading,0,23,23,0
hubmap,hubmap12,donor,empty-table-header,0,7,7,0
hubmap,hubmap12,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap12,donor,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap12,donor,landmark-unique,0,2,2,0
hubmap,hubmap12,donor,link-name,0,32,32,0
hubmap,hubmap12,donor,list,0,1,1,0
hubmap,hubmap12,donor,listitem,0,6,6,0
hubmap,hubmap12,donor,meta-viewport-large,0,1,1,0
hubmap,hubmap12,donor,meta-viewport,0,1,1,0
hubmap,hubmap12,donor,nested-interactive,0,18,18,0
hubmap,hubmap12,donor,page-has-heading-one,0,1,1,0
hubmap,hubmap12,donor,scope-attr-valid,0,7,7,0
hubmap,hubmap12,donor,tabindex,0,12,12,0
hubmap,hubmap12,donor,table-duplicate-name,0,2,2,0
hubmap,hubmap12,donor,td-headers-attr,0,2,2,0
hubmap,hubmap12,donor,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap13,donor,button-name,1,9,10,0.1
hubmap,hubmap13,donor,heading-order,2,20,22,0.09090909090909091
hubmap,hubmap13,donor,html-has-lang,1,0,1,1
hubmap,hubmap13,donor,landmark-one-main,1,0,1,1
