issue_name,issue_filter,issue_id,issue_impact,issue_overall_impact,issue_note_overall_impact_hdv,issue_severity,issue_data_related,issue_data_related_rule,issue_pour_category,issue_wcag_level,issue_difficulty_to_fix,issue_missing_label_related,issue_desc,issue_help,issue_url
Lang with Error (conflicting language),,html-xml-lang-mismatch,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,HTML elements with lang and xml:lang must have the same base language,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch?application=playwright
ARIA Role Has No Label,,aria-command-name,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures every ARIA button, link and menuitem has an accessible name",ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright
Aria Image Has No Label,,role-img-alt,null,critical,,severe,O,related to data representations,,A,Difficult,O,"Ensures [role=img""] elements have alternate text""","[role=img""] elements must have an alternative text""",https://dequeuniversity.com/rules/axe/4.9/role-img-alt?application=playwright
Frame With Error (duplicated title),,frame-title-unique,null,moderate,,not severe,O,related to any data aspects,,A,Moderate,X,Ensures <iframe> and <frame> elements contain a unique title attribute,Frames must have a unique title attribute,https://dequeuniversity.com/rules/axe/4.9/frame-title-unique?application=playwright
Image Button Has No Label,,input-image-alt,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures <input type=image""> elements have alternate text""",Image buttons must have alternate text,https://dequeuniversity.com/rules/axe/4.9/input-image-alt?application=playwright
SVG Image Has No Label,,svg-img-alt,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",<svg> elements with an img role must have an alternative text,https://dequeuniversity.com/rules/axe/4.9/svg-img-alt?application=playwright
Table Has Bad Structure (scope),,scope-attr-valid,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures the scope attribute is used correctly on tables,scope attribute should be used correctly,https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid?application=playwright
Tooltip Has No Label,,aria-tooltip-name,null,critical,,severe,O,related to data representations,,A,Difficult,O,Ensures every ARIA tooltip node has an accessible name,ARIA tooltip nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name?application=playwright
Treeitem Has No Label,,aria-treeitem-name,null,critical,,severe,O,related to data representations,,A,Difficult,O,Ensures every ARIA treeitem node has an accessible name,ARIA treeitem nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name?application=playwright
Should Not Refresh Through Meta,,meta-refresh,null,moderate,,not severe,O,related to any data aspects,,A,Difficult,X,"Ensures <meta http-equiv=refresh""> is not used for delayed refresh""",Delayed refresh under 20 hours must not be used,https://dequeuniversity.com/rules/axe/4.9/meta-refresh?application=playwright
Toggle Has No Label,,aria-toggle-field-name,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures every ARIA toggle field has an accessible name,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright
Frame Not Focusable,,frame-focusable-content,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,Frames with focusable content must not have tabindex=-1,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content?application=playwright
Media Autoplay,,no-autoplay-audio,null,minor,,not severe,X,-,,A,Easy,X,Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio,<video> or <audio> elements must not play automatically,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio?application=playwright
