"web_type","continent","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal",NA,NA,"BMJ Publishing Group",0.0124860515558178,0.152862156052266,0.0092835643027314,0.0167745735921413,456,27313,24
"journal",NA,NA,"Brill Academic Publishers",0.0324127803045257,0.0393046023995866,0.0300818882212915,0.0349177792691801,669,20644,9
"journal",NA,NA,"Cambridge University Press",0.0223135264208122,0.0537343632647934,0.0201279344156473,0.0247304513079147,4193,200216,72
"journal",NA,NA,"Chinese Medical Journals Publishing House Co.Ltd",0.057838456426744,0.277984931570524,0.0343777448862487,0.0957225429829921,408,7664,12
"journal",NA,NA,"Churchill Livingstone",0.0214725518782909,0.155994444445464,0.0159061276746967,0.0289297065767367,42,1964,6
"journal",NA,NA,"CSIC Consejo Superior de Investigaciones Cientificas",0.135135135135135,0.181757294999992,0.0986304099001554,0.182416539658718,35,259,7
"journal",NA,NA,"Current Science, Inc.",0.000896602394018751,0.378134067314447,0.000427499347642224,0.00187949311181908,7,7809,7
"journal",NA,NA,"Czech Academy of Agricultural Sciences",0.0913638012623796,0.040295443072427,0.0850155369624172,0.0981352599185154,678,7439,10
"journal",NA,NA,"Czech Medical Association J.E. Purkyne",0.0595182579314058,0.183253479554913,0.0423189694136809,0.0831011291382872,254,3693,12
"journal",NA,NA,"D. Steinkopff-Verlag",0.000897778789878943,0.447414725909006,0.000373729149409369,0.00215507591878357,5,5576,5
"journal",NA,NA,"De Gruyter Open Ltd.",0.0236770511010462,0.122666900428335,0.0187118367151665,0.0299196210912165,802,30643,22
"journal",NA,NA,"Dove Medical Press Limited",0.0664216599218765,0.0515553988441847,0.0604236556378102,0.0729688217160214,403,6068,7
"journal",NA,NA,"Dove Medical Press Ltd.",0.0649911195876868,0.0212006161454893,0.0625112725598339,0.0675622534057162,2380,36732,41
"journal",NA,NA,"Eco-Vector LLC",0.0760032158769234,0.0466451873366046,0.0698266110067378,0.0826776177801809,745,9810,5
"journal",NA,NA,"Ediciones Doyma, S.L.",0.0511455161409455,0.106164120931262,0.0419404783400118,0.0622396149797955,1041,16166,25
"journal",NA,NA,"Editions Eres",0.0508195321298957,0.193770837349376,0.0353283496148285,0.07259230714374,425,7786,8
"journal",NA,NA,"Editorial Ciencias Medicas",0.090344142426323,0.142965882677788,0.0698076267827515,0.116167732494208,733,7699,7
"journal",NA,NA,"Edizioni Minerva Medica S.p.A.",0.079175510039166,0.0335043487552937,0.074518292407447,0.0840973440783688,968,12278,26
"journal",NA,NA,"EDP Sciences",0.0242402837295117,0.0719585473515448,0.0211190065017613,0.0278097635372311,198,8335,15
"journal",NA,NA,"Elsevier",0.019625895311785,0.152123558404168,0.0146401225861013,0.0262643421967538,237,9979,38
"journal",NA,NA,"Elsevier BV",0.0204235671210043,0.0918662487170341,0.0171158668940689,0.0243546526178368,593,26524,83
"journal",NA,NA,"Elsevier Espana",0.0755333418922499,0.105799591405104,0.0622686039280825,0.091348528767274,498,6107,9
"journal",NA,NA,"Elsevier GmbH",0.0236153129358778,0.221032899611003,0.0154408433032661,0.0359593344036297,21,934,5
"journal",NA,NA,"Elsevier Inc.",0.0190010306315968,0.0676122711256225,0.0166821061270403,0.0216352088376303,223,11774,51
"journal",NA,NA,"Elsevier Ireland Ltd",0.0195121951219512,0.190853393389537,0.01350529237419,0.0281147123666122,28,1435,7
