"web_type","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal","Russia","ALL",0.116337983490733,0.0468965511320564,0.107216821099216,0.126125481380913,22795,145733,153
"journal","Saudi Arabia","ALL",0.0324359940824144,0.183330345526292,0.0228691056241517,0.0458173631261441,110,3007,5
"journal","Serbia","ALL",0.0321453647591007,0.180499487240097,0.0227854036687761,0.0451725454847021,381,10957,16
"journal","Singapore","ALL",0.0131046204573245,0.237775806115172,0.00826332006231541,0.0207230650494988,345,16378,17
"journal","Slovakia","ALL",0.0519861589872652,0.228468289252259,0.0338565051766981,0.079029851608909,512,9745,13
"journal","Slovenia","ALL",0.040162021834753,0.174165299553818,0.028882814185136,0.0555937853817044,275,7054,11
"journal","South Africa","ALL",0.0310831401350819,0.0963620674879734,0.025872049733053,0.0373036426769978,1075,32945,37
"journal","South Korea","ALL",0.0557500201827518,0.0650705424049595,0.0494044074689248,0.0628567839276885,3525,62267,64
"journal","Spain","ALL",0.0454920683533894,0.0524149863583375,0.0412337799028597,0.0501671077445273,6866,118107,169
"journal","Sweden","ALL",0.0113195458042279,0.499896076654505,0.00427955061583435,0.0295963256294621,138,15741,8
"journal","Switzerland","ALL",0.0432219195014466,0.0350140680515273,0.0404712658975824,0.0461505311699598,24735,375047,222
"journal","Taiwan","ALL",0.0413126028821978,0.193422488791401,0.028650970008864,0.0592285615122268,552,12260,18
"journal","Thailand","ALL",0.0474824889221905,0.208872620690195,0.0320423361892894,0.0698260353147556,574,12424,14
"journal","Turkey","ALL",0.0961547344447806,0.0470935737793996,0.0884264477578168,0.104481041354595,8429,82686,97
"journal","Ukraine","ALL",0.0261307533334426,0.164842293361266,0.0190538366258256,0.035740388552644,542,17402,28
"journal","United Arab Emirates","ALL",0.0330324437231514,0.0321828640336284,0.0310759513287223,0.0351076505870946,2882,89570,80
"journal","United Kingdom","ALL",0.019597247413214,0.0452653082712228,0.0179633913392502,0.0213764756838093,18782,758427,524
"journal","United States","ALL",0.018442505502552,0.0380575917642533,0.0171396253175098,0.019842425554008,21932,746879,792
"journal","Venezuela","ALL",0.0356194090131483,0.449260812126187,0.0150809017461244,0.0818058335342484,372,6322,9
"journal","ALL","ABV-press Publishing house",0.219781361664778,0.0322166955418878,0.209145387050768,0.230800372400792,1797,8203,6
"journal","ALL","Academic Press Inc.",0.0195121951219512,0.119018001527806,0.0155154554927279,0.024512849209992,72,3690,18
"journal","ALL","Adis International Ltd",0.00106148004102974,0.333518977104833,0.000552384190833376,0.00203881860853561,9,8797,8
"journal","ALL","Advanstar Communications Inc.",0.0644020983183764,0.169771102628802,0.0470305783417535,0.0876002527625121,668,8594,5
