id,source_id,date_added
444,dc_1853,11-29-2023
445,dc_6426,11-29-2023
446,dc_6293,11-29-2023
447,dc_78,11-29-2023
448,dc_899,11-29-2023
449,dc_4906,11-29-2023
450,dc_737,11-29-2023
451,dc_7104,11-29-2023
452,dc_4653,11-29-2023
453,dc_1138,11-29-2023
454,dc_7627,11-29-2023
455,dc_7084,11-29-2023
456,dc_254,11-29-2023
457,dc_94,11-29-2023
458,dc_8189,11-29-2023
459,dc_5549,11-29-2023
460,dc_1545,11-29-2023
461,dc_343,11-29-2023
462,dc_1675,11-29-2023
463,dc_5510,11-29-2023
464,dc_3821,11-29-2023
465,dc_247,11-29-2023
466,dc_3825,11-29-2023
467,dc_4584,11-29-2023
468,dc_6024,11-29-2023
469,dc_34,11-29-2023
470,dc_271,11-29-2023
471,dc_4621,11-29-2023
472,dc_6357,11-29-2023
473,dc_3780,11-29-2023
474,dc_6573,11-29-2023
475,dc_375,11-29-2023
476,dc_5038,11-29-2023
477,dc_1271,11-29-2023
478,dc_7072,11-29-2023
479,dc_6245,11-29-2023
480,dc_6286,11-29-2023
481,dc_1740,11-29-2023
482,dc_557,11-29-2023
483,dc_615,11-29-2023
484,dc_1463,11-29-2023
485,dc_6018,11-29-2023
486,dc_524,11-29-2023
487,dc_7788,11-29-2023
488,dc_1269,11-29-2023
489,dc_548,11-29-2023
490,dc_304,11-29-2023
491,dc_9007,11-29-2023
492,dc_314,11-29-2023
493,dc_4847,11-29-2023
494,dc_4099,11-29-2023
495,dc_6847,11-29-2023
496,dc_367,11-29-2023
497,dc_4128,11-29-2023
498,dc_6963,11-29-2023
499,dc_1848,11-29-2023
500,dc_260,11-29-2023
501,dc_4195,11-29-2023
502,dc_255,11-29-2023
503,dc_130,11-29-2023
504,dc_4808,11-29-2023
505,dc_1288,11-29-2023
506,dc_1189,11-29-2023
507,dc_476,11-29-2023
508,dc_7081,11-29-2023
509,dc_388,11-29-2023
510,dc_1872,11-29-2023
511,dc_1667,11-29-2023
512,dc_6285,11-29-2023
513,dc_1505,11-29-2023
514,dc_505,11-29-2023
515,dc_1462,11-29-2023
516,dc_486,11-29-2023
517,dc_3297,11-29-2023
518,dc_6946,11-29-2023
519,dc_6959,11-29-2023
520,dc_403,11-29-2023
521,dc_5784,11-29-2023
522,dc_5050,11-29-2023
523,dc_4871,11-29-2023
524,dc_7279,11-29-2023
525,dc_8125,11-29-2023
526,dc_6832,11-29-2023
527,dc_6408,11-29-2023
528,dc_1764,11-29-2023
529,dc_4737,11-29-2023
530,dc_3806,11-29-2023
531,dc_947,11-29-2023
532,dc_39,11-29-2023
533,dc_1858,11-29-2023
534,dc_1814,11-29-2023
535,dc_3193,11-29-2023
536,dc_6108,11-29-2023
537,dc_1286,11-29-2023
538,dc_1423,11-29-2023
539,dc_7551,11-29-2023
540,dc_5213,11-29-2023
541,dc_2997,11-29-2023
542,dc_7074,11-29-2023
543,dc_7054,11-29-2023
544,dc_1749,11-29-2023
545,dc_4022,11-29-2023
546,dc_323,11-29-2023
547,dc_302,11-29-2023
548,dc_1661,11-29-2023
549,dc_1754,11-29-2023
550,dc_257,11-29-2023
551,dc_7311,11-29-2023
552,dc_7322,11-29-2023
553,dc_4211,11-29-2023
554,dc_284,11-29-2023
555,dc_1766,11-29-2023
556,dc_569,11-29-2023
557,dc_3574,11-29-2023
558,dc_1351,11-29-2023
559,dc_12,11-29-2023
560,dc_204,11-29-2023
561,dc_6292,11-29-2023
562,dc_1199,11-29-2023
563,dc_188,11-29-2023
564,dc_5493,11-29-2023
565,dc_7703,11-29-2023
566,dc_7536,11-29-2023
567,dc_7154,11-29-2023
568,dc_7123,11-29-2023
569,dc_1690,11-29-2023
570,dc_1422,11-29-2023
571,dc_46,11-29-2023
572,dc_51,11-29-2023
573,dc_1666,11-29-2023
574,dc_1406,11-29-2023
575,dc_1132,11-29-2023
576,dc_338,11-29-2023
577,dc_6443,11-29-2023
578,dc_4774,11-29-2023
579,dc_954,11-29-2023
580,dc_6027,11-29-2023
581,dc_5776,11-29-2023
582,dc_6821,11-29-2023
583,dc_7132,11-29-2023
584,dc_5745,11-29-2023
585,dc_1644,11-29-2023
586,dc_5802,11-29-2023
587,dc_1810,11-29-2023
588,dc_5157,11-29-2023
589,dc_1445,11-29-2023
590,dc_7256,11-29-2023
591,dc_11,11-29-2023
592,dc_5062,11-29-2023
593,dc_7125,11-29-2023
594,dc_4163,11-29-2023
595,dc_1172,11-29-2023
596,dc_7922,11-29-2023
597,dc_426,11-29-2023
598,dc_22,11-29-2023
599,dc_3680,11-29-2023
600,dc_361,11-29-2023
601,dc_1320,11-29-2023
602,dc_423,11-29-2023
603,dc_378,11-29-2023
604,dc_223,11-29-2023
605,dc_7135,11-29-2023
606,dc_6742,11-29-2023
607,dc_5830,11-29-2023
608,dc_4469,11-29-2023
609,dc_634,11-29-2023
610,dc_4788,11-29-2023
611,dc_4835,11-29-2023
612,dc_7109,11-29-2023
613,dc_4985,11-29-2023
614,dc_5869,11-29-2023
615,dc_1205,11-29-2023
616,dc_203,11-29-2023
617,dc_1179,11-29-2023
618,dc_6429,11-29-2023
619,dc_6564,11-29-2023
620,dc_6914,11-29-2023
621,dc_5060,11-29-2023
622,dc_518,11-29-2023
623,dc_64,11-29-2023
624,dc_1648,11-29-2023
625,dc_7030,11-29-2023
626,dc_313,11-29-2023
627,dc_3522,11-29-2023
628,dc_4391,11-29-2023
629,dc_1109,11-29-2023
630,dc_3315,11-29-2023
631,dc_575,11-29-2023
632,dc_1862,11-29-2023
633,dc_261,11-29-2023
634,dc_3856,11-29-2023
635,dc_7751,11-29-2023
636,dc_7525,11-29-2023
637,dc_4192,11-29-2023
638,dc_150,11-29-2023
639,dc_544,11-29-2023
640,dc_4909,11-29-2023
641,dc_600,11-29-2023
642,dc_574,11-29-2023
643,dc_5476,11-29-2023
644,dc_337,11-29-2023
645,dc_3345,11-29-2023
646,dc_6416,11-29-2023
647,dc_1857,11-29-2023
648,dc_3095,11-29-2023
649,dc_4087,11-29-2023
650,dc_5853,11-29-2023
651,dc_5310,11-29-2023
652,dc_7062,11-29-2023
653,dc_3705,11-29-2023
654,dc_4766,11-29-2023
655,dc_44,11-29-2023
656,dc_413,11-29-2023
657,dc_7434,11-29-2023
658,dc_7537,11-29-2023
659,dc_3375,11-29-2023
660,dc_1389,11-29-2023
661,dc_639,11-29-2023
662,dc_1645,11-29-2023
663,dc_7210,11-29-2023
664,dc_6727,11-29-2023
665,dc_6830,11-29-2023
666,dc_5024,11-29-2023
667,dc_490,11-29-2023
668,dc_4073,11-29-2023
669,dc_6845,11-29-2023
670,dc_6129,11-29-2023
671,dc_1841,11-29-2023
672,dc_5816,11-29-2023
673,dc_4898,11-29-2023
674,dc_5023,11-29-2023
675,dc_987,11-29-2023
676,dc_1884,11-29-2023
677,dc_5022,11-29-2023
678,dc_1699,11-29-2023
679,dc_7498,11-29-2023
680,dc_7313,11-29-2023
681,dc_7373,11-29-2023
682,dc_7375,11-29-2023
683,dc_7957,11-29-2023
684,dc_6035,11-29-2023
685,dc_241,11-29-2023
686,dc_1161,11-29-2023
687,dc_6646,11-29-2023
688,dc_3408,11-29-2023
689,dc_6236,11-29-2023
690,dc_5099,11-29-2023
691,dc_4812,11-29-2023
692,dc_6105,11-29-2023
693,dc_4338,11-29-2023
694,dc_654,11-29-2023
695,dc_81,11-29-2023
696,dc_3867,11-29-2023
697,dc_1251,11-29-2023
698,dc_7516,11-29-2023
699,dc_6693,11-29-2023
700,dc_4976,11-29-2023
701,dc_4747,11-29-2023
702,dc_768,11-29-2023
703,dc_4735,11-29-2023
704,dc_3781,11-29-2023
705,dc_6625,11-29-2023
706,dc_416,11-29-2023
707,dc_417,11-29-2023
708,dc_225,11-29-2023
709,dc_5122,11-29-2023
710,dc_4603,11-29-2023
711,dc_1643,11-29-2023
712,dc_957,11-29-2023
713,dc_1811,11-29-2023
714,dc_4643,11-29-2023
715,dc_594,11-29-2023
716,dc_721,11-29-2023
717,dc_798,11-29-2023
718,dc_1572,11-29-2023
719,dc_1663,11-29-2023
720,dc_143,11-29-2023
721,dc_4476,11-29-2023
722,dc_555,11-29-2023
723,dc_263,11-29-2023
724,dc_4307,11-29-2023
725,dc_116,11-29-2023
726,dc_280,11-29-2023
727,dc_593,11-29-2023
728,dc_5703,11-29-2023
729,dc_6644,11-29-2023
730,dc_4364,11-29-2023
731,dc_446,11-29-2023
732,dc_4823,11-29-2023
733,dc_1615,11-29-2023
734,dc_7102,11-29-2023
735,dc_381,11-29-2023
736,dc_3091,11-29-2023
737,dc_141,11-29-2023
738,dc_3804,11-29-2023
739,dc_359,11-29-2023
740,dc_231,11-29-2023
741,dc_6167,11-29-2023
742,dc_6825,11-29-2023
743,dc_5710,11-29-2023
744,dc_1650,11-29-2023
745,dc_461,11-29-2023
746,dc_1148,11-29-2023
747,dc_638,11-29-2023
748,dc_1777,11-29-2023
749,dc_3197,11-29-2023
750,dc_7149,11-29-2023
751,dc_38,11-29-2023
752,dc_6574,11-29-2023
753,dc_4562,11-29-2023
754,dc_1465,11-29-2023
755,dc_5829,11-29-2023
756,dc_3266,11-29-2023
757,dc_6296,11-29-2023
758,dc_660,11-29-2023
759,dc_7122,11-29-2023
760,dc_1265,11-29-2023
761,dc_1933,11-29-2023
762,dc_289,11-29-2023
763,dc_6420,11-29-2023
764,dc_4543,11-29-2023
765,dc_5319,11-29-2023
766,dc_7835,11-29-2023
767,dc_3757,11-29-2023
768,dc_3540,11-29-2023
769,dc_519,11-29-2023
770,dc_531,11-29-2023
771,dc_7933,11-29-2023
772,dc_7278,11-29-2023
773,dc_4227,11-29-2023
774,dc_7058,11-29-2023
775,dc_4982,11-29-2023
776,dc_7368,11-29-2023
777,dc_5171,11-29-2023
778,dc_199,11-29-2023
