id,source_id,date_added
180,sjr_14719,11-29-2023
181,sjr_4700152228,11-29-2023
182,sjr_21101007236,11-29-2023
183,sjr_24769,11-29-2023
184,sjr_21101049051,11-29-2023
185,sjr_21100786228,11-29-2023
186,sjr_21101070988,11-29-2023
187,sjr_27162,11-29-2023
188,sjr_15388,11-29-2023
189,sjr_17600155041,11-29-2023
190,sjr_29838,11-29-2023
191,sjr_7500153126,11-29-2023
192,sjr_17600155130,11-29-2023
193,sjr_22005,11-29-2023
194,sjr_17900156736,11-29-2023
195,sjr_22899,11-29-2023
196,sjr_25491,11-29-2023
197,sjr_19066,11-29-2023
198,sjr_14621,11-29-2023
199,sjr_24212,11-29-2023
200,sjr_22680,11-29-2023
201,sjr_17555,11-29-2023
202,sjr_6400153137,11-29-2023
203,sjr_24668,11-29-2023
204,sjr_21101027628,11-29-2023
205,sjr_16512,11-29-2023
206,sjr_18567,11-29-2023
207,sjr_22126,11-29-2023
208,sjr_25037,11-29-2023
209,sjr_28973,11-29-2023
210,sjr_12812,11-29-2023
211,sjr_29229,11-29-2023
212,sjr_16160,11-29-2023
213,sjr_27538,11-29-2023
214,sjr_26465,11-29-2023
215,sjr_18933,11-29-2023
216,sjr_110561,11-29-2023
217,sjr_19133,11-29-2023
218,sjr_21101046404,11-29-2023
219,sjr_21100838541,11-29-2023
220,sjr_15359,11-29-2023
221,sjr_23188,11-29-2023
222,sjr_22687,11-29-2023
223,sjr_25143,11-29-2023
224,sjr_17915,11-29-2023
225,sjr_19700182323,11-29-2023
226,sjr_4000148205,11-29-2023
227,sjr_17435,11-29-2023
228,sjr_21101074917,11-29-2023
229,sjr_21100926579,11-29-2023
230,sjr_19614,11-29-2023
231,sjr_110325,11-29-2023
232,sjr_12459,11-29-2023
233,sjr_21100278313,11-29-2023
234,sjr_18525,11-29-2023
235,sjr_28996,11-29-2023
236,sjr_21100831440,11-29-2023
237,sjr_21100274221,11-29-2023
238,sjr_21100241219,11-29-2023
239,sjr_21191,11-29-2023
240,sjr_5100155078,11-29-2023
241,sjr_21307,11-29-2023
242,sjr_23833,11-29-2023
243,sjr_17249,11-29-2023
244,sjr_21100203115,11-29-2023
245,sjr_13649,11-29-2023
246,sjr_17600155011,11-29-2023
247,sjr_21100416121,11-29-2023
248,sjr_17269,11-29-2023
249,sjr_21708,11-29-2023
250,sjr_21100420314,11-29-2023
251,sjr_21100261712,11-29-2023
252,sjr_29857,11-29-2023
253,sjr_5700191214,11-29-2023
254,sjr_19900191883,11-29-2023
255,sjr_14365,11-29-2023
256,sjr_19700170610,11-29-2023
257,sjr_15870,11-29-2023
258,sjr_19700182758,11-29-2023
259,sjr_21100228540,11-29-2023
260,sjr_29009,11-29-2023
261,sjr_19700188395,11-29-2023
262,sjr_24392,11-29-2023
263,sjr_21101038708,11-29-2023
264,sjr_17700155014,11-29-2023
265,sjr_21100197947,11-29-2023
266,sjr_23860,11-29-2023
267,sjr_144974,11-29-2023
268,sjr_15582,11-29-2023
269,sjr_15555,11-29-2023
270,sjr_21677,11-29-2023
271,sjr_15090,11-29-2023
272,sjr_25454,11-29-2023
273,sjr_21100228546,11-29-2023
274,sjr_22214,11-29-2023
275,sjr_15631,11-29-2023
276,sjr_19600166404,11-29-2023
277,sjr_17552,11-29-2023
278,sjr_21100943502,11-29-2023
279,sjr_16343,11-29-2023
280,sjr_21101101215,11-29-2023
281,sjr_29488,11-29-2023
282,sjr_5200152836,11-29-2023
