"web_type","continent","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal",NA,"India","ALL",0.0440742180763592,0.0364536573668856,0.0411601643875759,0.047184428236706,14738,263617,279
"journal",NA,"Indonesia","ALL",0.0459801177877578,0.121087661839513,0.0366217819006377,0.0575869340440917,2128,45103,35
"journal",NA,"Iran","ALL",0.0497147719786592,0.0434050932835101,0.0458462030965966,0.0538913389705968,10778,188218,158
"journal",NA,"Iraq","ALL",0.0280126760277881,0.209236590849466,0.0187656762665731,0.0416229549943953,344,9298,7
"journal",NA,"Ireland","ALL",0.0201190636541189,0.0727704683521286,0.0174915547304625,0.0231319735069287,301,15116,52
"journal",NA,"Israel","ALL",0.068421679193037,0.210809990315448,0.0463369579226903,0.0999292841079963,362,5127,7
"journal",NA,"Italy","ALL",0.0399805740265326,0.0573235045135107,0.0358842860600771,0.0445228704263574,6736,140968,198
"journal",NA,"Japan","ALL",0.0283847607112862,0.0705593759109153,0.0248096181000854,0.0324579450175004,3977,119328,198
"journal",NA,"Lithuania","ALL",0.0644424670458827,0.290981505661144,0.0374823202483152,0.108606323796645,121,2513,5
"journal",NA,"Malaysia","ALL",0.0346554480402476,0.151201525443148,0.0259983559897938,0.0460589140231879,703,20198,37
"journal",NA,"Mexico","ALL",0.0431681750352291,0.134364514910192,0.0335084885424917,0.0554527450570488,1500,25696,35
"journal",NA,"Nepal","ALL",0.0287466078226603,0.616321179774579,0.00876630492133041,0.0901257646220315,86,2743,5
"journal",NA,"Netherlands","ALL",0.0174826152209793,0.0375322095724253,0.0162628904127545,0.0187920724740916,7861,368039,714
"journal",NA,"New Zealand","ALL",0.0515216355035015,0.0565556279366973,0.0463664143771533,0.0572156473233459,4133,87180,92
"journal",NA,"Nigeria","ALL",0.0432993625940431,0.224365532445506,0.028329833434977,0.0656444334757794,500,10517,10
"journal",NA,"Norway","ALL",0.0150247944335604,0.335415200117339,0.00784256085946806,0.028594962270032,119,7592,8
"journal",NA,"Pakistan","ALL",0.0551175878574932,0.150333137479941,0.0416369308218179,0.0726320526259467,2133,33019,36
"journal",NA,"Peru","ALL",0.0177497117694851,0.270224654875571,0.0105282669662495,0.0297753641406204,144,7524,8
"journal",NA,"Philippines","ALL",0.0389213493250268,0.252969200797583,0.0240723671644911,0.0623447545687922,288,7031,10
"journal",NA,"Poland","ALL",0.055537385054613,0.0559977513648205,0.0500534977272981,0.0615831401330075,7969,135469,174
"journal",NA,"Portugal","ALL",0.0488373846451391,0.20788691358071,0.033033558980219,0.071641857665749,452,7793,13
"journal",NA,"Romania","ALL",0.0528035843364894,0.113772406296353,0.0427000276542382,0.0651351526604501,1861,31985,45
"journal",NA,"Russia","ALL",0.104247517803485,0.0503566131823153,0.0953845582394578,0.113830380267186,25522,178949,182
"journal",NA,"Saudi Arabia","ALL",0.0284416947507342,0.133713867866033,0.0220290171421907,0.0366511524688828,162,4954,12
"journal",NA,"Serbia","ALL",0.0347459449271146,0.151257615715418,0.0260640659564795,0.0461826070566151,455,12166,19
"journal",NA,"Singapore","ALL",0.0207518408739561,0.153112431859098,0.0154550311139829,0.0278127121509582,760,24043,46
"journal",NA,"Slovakia","ALL",0.0589891430847864,0.198129181590303,0.0407800533228027,0.0846117454203113,500,8964,15
"journal",NA,"Slovenia","ALL",0.0342426098996325,0.154656659044399,0.0255169705069925,0.0458117487172443,290,8204,12
"journal",NA,"South Africa","ALL",0.0321236054742931,0.109698471396752,0.0260709114487558,0.039524482538582,1310,34026,42
"journal",NA,"South Korea","ALL",0.0550158345128041,0.0402747406560354,0.051053216633801,0.0592668112089191,10126,161556,124
"journal",NA,"Spain","ALL",0.0466204819858399,0.0465418874533258,0.0427296205422143,0.0508468175787834,8325,139738,200
"journal",NA,"Sweden","ALL",0.029196054437629,0.248538444676419,0.0181419936332925,0.046665328530633,352,9958,17
"journal",NA,"Switzerland","ALL",0.0314457162464939,0.0341671865469769,0.0294688930585766,0.0335505638916898,34009,520312,302
